full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
NaturalNode/natural,False,True,8942,308,0,2019-11-11T03:30:56Z,2,834,834,8942,82,True,12221,False,False,True,80,JavaScript,2011-05-07T02:35:16Z,,True,2019-12-06T17:46:50Z,1714160,general natural language facilities for node
torvalds/linux,False,True,83708,6854,0,2019-12-07T00:48:47Z,30,29303,29303,83708,308,False,2764734,False,False,True,8370,C,2011-09-04T22:48:12Z,,False,2019-12-07T08:51:24Z,2325298,Linux kernel source tree
kubernetes/kubernetes,False,True,60874,3076,0,2019-12-07T06:38:37Z,30,21506,21506,60874,3307,False,888503,False,False,True,3277,Go,2014-06-06T22:56:04Z,,False,2019-12-07T06:44:06Z,20580498,Production-Grade Container Scheduling and Management
atom/atom,False,True,50604,2468,0,2019-12-06T21:41:27Z,30,13520,13520,50604,579,False,314970,False,False,True,549,JavaScript,2012-01-20T18:18:21Z,,False,2019-12-07T02:42:27Z,3228505,:atom: The hackable text editor
django/django,False,False,45711,2211,0,2019-12-07T05:13:35Z,30,19751,19751,45711,249,False,193253,False,False,True,1424,Python,2012-04-28T02:47:18Z,,False,2019-12-07T06:02:11Z,4164482,The Web framework for perfectionists with deadlines.
nodejs/node,False,True,66280,2924,1,2019-12-07T05:48:45Z,30,15624,15624,66280,1186,False,534021,False,False,True,1155,JavaScript,2014-11-26T19:57:11Z,,False,2019-12-07T05:47:58Z,27193779,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:
expressjs/express,False,False,46414,1815,0,2019-12-07T04:41:06Z,30,7772,7772,46414,186,True,8848,False,False,True,156,JavaScript,2009-06-26T18:56:01Z,,False,2019-12-07T07:53:48Z,237159,"Fast, unopinionated, minimalist web framework for node."
moby/moby,False,True,55769,3215,0,2019-12-06T15:36:00Z,30,16106,16106,55769,3873,True,146606,False,False,True,3843,Go,2013-01-18T18:10:57Z,,False,2019-12-07T21:24:30Z,7691631,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
vuejs/vue,False,True,153539,6017,0,2019-12-07T07:36:38Z,30,22935,22935,153539,410,True,27977,False,False,True,380,JavaScript,2013-07-29T03:24:51Z,,False,2019-12-07T08:59:55Z,11730342,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web."
spring-projects/spring-boot,False,True,43904,3346,6,2019-12-06T23:14:06Z,29,27952,27952,43904,412,True,112568,False,False,True,377,Java,2012-10-19T15:02:57Z,,True,2019-12-07T07:12:41Z,6296790,Spring Boot
facebook/react-native,False,True,83100,3726,0,2019-12-07T18:42:00Z,30,18598,18598,83100,854,True,447647,False,False,True,824,JavaScript,2015-01-09T18:10:16Z,,True,2019-12-07T21:42:24Z,29028775,A framework for building native apps with React.
angular/angular.js,False,True,59620,4124,0,2019-11-27T08:51:58Z,30,28845,28845,59620,468,True,100306,False,False,True,438,JavaScript,2010-01-06T00:34:37Z,,False,2019-12-07T03:21:17Z,460078,AngularJS - HTML enhanced for web apps!
