full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
apple/swift,False,False,49970,2524,0,2019-12-07T02:49:14Z,30,8082,8082,49970,425,False,513078,False,False,True,4997,C++,2015-10-23T21:15:07Z,,False,2019-12-07T04:23:25Z,44838949,The Swift Programming Language
facebook/react,False,True,140526,6649,0,2019-12-06T20:31:50Z,30,26796,26796,140526,990,True,148878,False,False,True,960,JavaScript,2013-05-24T16:15:54Z,,True,2019-12-07T06:11:11Z,10270250,"A declarative, efficient, and flexible JavaScript library for building user interfaces."
esamattis/underscore.string,False,True,3337,77,0,2018-10-04T18:28:16Z,30,389,389,3337,124,False,3708,False,False,True,94,JavaScript,2010-07-27T08:01:42Z,,True,2019-12-06T23:51:12Z,800115,String manipulation helpers for javascript
microsoft/TypeScript,False,True,56274,2121,0,2019-12-07T04:30:50Z,30,7652,7652,56274,4146,True,1197859,False,False,True,4116,TypeScript,2014-06-17T15:28:39Z,,False,2019-12-07T03:54:34Z,20929025,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
cheeriojs/cheerio,False,True,20849,396,0,2019-12-04T06:49:35Z,23,1328,1328,20849,224,True,4016,False,False,True,201,JavaScript,2011-10-09T04:23:20Z,,True,2019-12-06T18:38:25Z,2541284,"Fast, flexible, and lean implementation of core jQuery designed specifically for the server."
python-pillow/Pillow,False,True,6855,217,2,2019-12-07T00:08:10Z,25,1360,1360,6855,194,True,52535,False,False,True,167,Python,2012-07-24T21:38:39Z,,True,2019-12-07T07:33:48Z,5171600,The friendly PIL fork (Python Imaging Library)
elastic/elasticsearch,False,True,45847,2798,0,2019-12-07T03:38:00Z,30,15494,15494,45847,2327,False,690100,False,False,True,2297,Java,2010-02-08T13:20:56Z,,False,2019-12-07T05:28:39Z,507775,"Open Source, Distributed, RESTful Search Engine"
webpack/webpack,False,True,52094,1603,0,2019-12-07T00:36:13Z,30,6647,6647,52094,446,True,29822,False,False,True,416,JavaScript,2012-03-10T10:08:14Z,,False,2019-12-07T07:31:36Z,3678731,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
h5bp/html5-boilerplate,False,False,43726,2623,0,2019-11-20T02:15:20Z,0,10453,10453,43726,1,True,14215,False,False,True,1,JavaScript,2010-01-24T18:03:24Z,,False,2019-12-07T03:32:44Z,486550,"A professional front-end template for building fast, robust, and adaptable web apps or sites."
microsoft/terminal,False,True,55217,1184,2,2019-12-07T02:16:42Z,30,5339,5339,55217,829,False,53288,False,False,True,797,C++,2017-08-11T18:38:22Z,,False,2019-12-07T06:34:41Z,100060912,"The new Windows Terminal, and the original Windows console host - all in the same place!"
gdamore/tcell,False,True,1802,54,4,2019-12-04T01:43:30Z,8,139,139,1802,40,True,1960,False,False,True,28,Go,2015-09-27T06:37:33Z,,False,2019-12-06T19:54:34Z,43237167,"Tcell is an alternate terminal package, similar in some ways to termbox, but better in others."
puppeteer/puppeteer,False,False,56549,1211,0,2019-12-04T13:12:35Z,23,5545,5545,56549,707,False,5770,False,False,True,684,JavaScript,2017-05-09T22:16:13Z,,False,2019-12-07T07:40:20Z,90796663,Headless Chrome Node.js API
socketio/socket.io,False,True,48204,1670,0,2019-11-19T07:44:16Z,18,8808,8808,48204,450,False,12300,False,False,True,432,JavaScript,2010-03-11T18:24:48Z,,True,2019-12-07T06:42:50Z,557980,Realtime application framework (Node.JS server)
moment/moment,False,True,42911,957,0,2019-12-04T20:19:01Z,30,6416,6416,42911,438,False,17858,False,False,True,408,JavaScript,2011-03-01T02:46:06Z,,False,2019-12-07T06:05:57Z,1424470,"Parse, validate, manipulate, and display dates in javascript."
zeit/next.js,False,False,43017,812,0,2019-12-07T06:44:04Z,24,5804,5804,43017,333,True,19700,False,False,True,309,JavaScript,2016-10-05T23:32:51Z,,False,2019-12-07T08:14:04Z,70107786,The React Framework
gorakhargosh/watchdog,False,True,3814,136,1,2019-12-03T13:28:02Z,7,476,476,3814,120,True,1518,False,False,True,112,Python,2010-10-23T12:00:17Z,,True,2019-12-07T05:45:05Z,1017451,Python library and shell utilities to monitor filesystem events.
SheetJS/sheetjs,False,False,18936,522,0,2019-11-27T09:50:09Z,17,4670,4670,18936,317,True,54376,False,False,True,300,JavaScript,2012-12-03T19:25:52Z,,True,2019-12-07T07:02:28Z,6988020,:green_book: SheetJS Community Edition -- Spreadsheet Data Toolkit
d3/d3,False,False,88937,4042,1,2019-11-20T15:34:24Z,0,21618,21618,88937,3,True,41490,False,False,True,2,JavaScript,2010-09-27T17:22:42Z,,False,2019-12-07T02:42:58Z,943149,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
